,month,metric_total,topic_id,metric
0,2019-01-01,13.0,0,total_enrollments
1,2019-02-01,14.0,0,total_enrollments
2,2019-03-01,25.0,0,total_enrollments
3,2019-04-01,15.0,0,total_enrollments
4,2019-05-01,14.0,0,total_enrollments
5,2019-06-01,6.0,0,total_enrollments
6,2019-07-01,9.0,0,total_enrollments
7,2019-08-01,5.0,0,total_enrollments
8,2019-09-01,10.0,0,total_enrollments
9,2019-10-01,21.0,0,total_enrollments
10,2019-11-01,20.0,0,total_enrollments
11,2019-12-01,16.0,0,total_enrollments
12,2020-01-01,41.0,0,total_enrollments
13,2020-02-01,42.0,0,total_enrollments
14,2020-03-01,118.0,0,total_enrollments
15,2020-04-01,345.0,0,total_enrollments
16,2020-05-01,394.0,0,total_enrollments
17,2020-06-01,530.0,0,total_enrollments
18,2020-07-01,1162.0,0,total_enrollments
19,2020-08-01,1193.0,0,total_enrollments
20,2020-09-01,1177.0,0,total_enrollments
21,2020-10-01,1239.0,0,total_enrollments
22,2020-11-01,1261.0,0,total_enrollments
23,2020-12-01,82.0,0,total_enrollments
24,,0.0,0,total_enrollments
0,2019_01_01,7.0,0,new_buyers
1,2019_02_01,11.0,0,new_buyers
2,2019_03_01,16.0,0,new_buyers
3,2019_04_01,11.0,0,new_buyers
4,2019_05_01,9.0,0,new_buyers
5,2019_06_01,6.0,0,new_buyers
6,2019_07_01,7.0,0,new_buyers
7,2019_08_01,4.0,0,new_buyers
8,2019_09_01,9.0,0,new_buyers
9,2019_10_01,18.0,0,new_buyers
10,2019_11_01,15.0,0,new_buyers
11,2019_12_01,11.0,0,new_buyers
12,2020_01_01,19.0,0,new_buyers
13,2020_02_01,26.0,0,new_buyers
14,2020_03_01,63.0,0,new_buyers
15,2020_04_01,169.0,0,new_buyers
16,2020_05_01,153.0,0,new_buyers
17,2020_06_01,252.0,0,new_buyers
18,2020_07_01,467.0,0,new_buyers
19,2020_08_01,542.0,0,new_buyers
20,2020_09_01,521.0,0,new_buyers
21,2020_10_01,487.0,0,new_buyers
22,2020_11_01,493.0,0,new_buyers
23,2020_12_01,60.0,0,new_buyers
24,,0.0,0,new_buyers
0,2019_01_01,7.0,0,total_buyers
1,2019_02_01,11.0,0,total_buyers
2,2019_03_01,16.0,0,total_buyers
3,2019_04_01,15.0,0,total_buyers
4,2019_05_01,15.0,0,total_buyers
5,2019_06_01,14.0,0,total_buyers
6,2019_07_01,12.0,0,total_buyers
7,2019_08_01,8.0,0,total_buyers
8,2019_09_01,13.0,0,total_buyers
9,2019_10_01,22.0,0,total_buyers
10,2019_11_01,23.0,0,total_buyers
11,2019_12_01,21.0,0,total_buyers
12,2020_01_01,31.0,0,total_buyers
13,2020_02_01,38.0,0,total_buyers
14,2020_03_01,76.0,0,total_buyers
15,2020_04_01,178.0,0,total_buyers
16,2020_05_01,169.0,0,total_buyers
17,2020_06_01,279.0,0,total_buyers
18,2020_07_01,506.0,0,total_buyers
19,2020_08_01,585.0,0,total_buyers
20,2020_09_01,595.0,0,total_buyers
21,2020_10_01,619.0,0,total_buyers
22,2020_11_01,663.0,0,total_buyers
23,2020_12_01,59.0,0,total_buyers
24,,18.0,0,total_buyers
0,2019_01_01,1115.0,0,bookings
1,2019_02_01,1005.0,0,bookings
2,2019_03_01,1455.0,0,bookings
3,2019_04_01,1375.0,0,bookings
4,2019_05_01,1770.0,0,bookings
5,2019_06_01,1545.0,0,bookings
6,2019_07_01,490.0,0,bookings
7,2019_08_01,365.0,0,bookings
8,2019_09_01,1684.0,0,bookings
9,2019_10_01,2579.0,0,bookings
10,2019_11_01,1655.0,0,bookings
11,2019_12_01,2460.0,0,bookings
12,2020_01_01,3865.0,0,bookings
13,2020_02_01,4400.0,0,bookings
14,2020_03_01,5808.0,0,bookings
15,2020_04_01,19040.0,0,bookings
16,2020_05_01,16188.0,0,bookings
17,2020_06_01,25181.0,0,bookings
18,2020_07_01,49596.0,0,bookings
19,2020_08_01,51695.0,0,bookings
20,2020_09_01,59204.0,0,bookings
21,2020_10_01,69409.0,0,bookings
22,2020_11_01,77223.0,0,bookings
23,2020_12_01,3268.0,0,bookings
24,,,0,bookings
0,2019_02_01,2.0,0,activities_created
1,2019_03_01,4.0,0,activities_created
2,2019_04_01,1.0,0,activities_created
3,2019_05_01,1.0,0,activities_created
4,2019_06_01,2.0,0,activities_created
5,2019_07_01,1.0,0,activities_created
6,2019_08_01,5.0,0,activities_created
7,2019_09_01,3.0,0,activities_created
8,2019_10_01,1.0,0,activities_created
9,2019_11_01,4.0,0,activities_created
10,2020_01_01,3.0,0,activities_created
11,2020_02_01,3.0,0,activities_created
12,2020_03_01,14.0,0,activities_created
13,2020_04_01,19.0,0,activities_created
14,2020_05_01,36.0,0,activities_created
15,2020_06_01,61.0,0,activities_created
16,2020_07_01,95.0,0,activities_created
17,2020_08_01,115.0,0,activities_created
18,2020_09_01,90.0,0,activities_created
19,2020_10_01,23.0,0,activities_created
20,2020_11_01,13.0,0,activities_created
0,2019_01_01,4.0,0,total_sellers
1,2019_02_01,4.0,0,total_sellers
2,2019_03_01,6.0,0,total_sellers
3,2019_04_01,7.0,0,total_sellers
4,2019_05_01,5.0,0,total_sellers
5,2019_06_01,6.0,0,total_sellers
6,2019_07_01,5.0,0,total_sellers
7,2019_08_01,2.0,0,total_sellers
8,2019_09_01,9.0,0,total_sellers
9,2019_10_01,8.0,0,total_sellers
10,2019_11_01,9.0,0,total_sellers
11,2019_12_01,9.0,0,total_sellers
12,2020_01_01,15.0,0,total_sellers
13,2020_02_01,17.0,0,total_sellers
14,2020_03_01,21.0,0,total_sellers
15,2020_04_01,30.0,0,total_sellers
16,2020_05_01,38.0,0,total_sellers
17,2020_06_01,67.0,0,total_sellers
18,2020_07_01,107.0,0,total_sellers
19,2020_08_01,144.0,0,total_sellers
20,2020_09_01,175.0,0,total_sellers
21,2020_10_01,180.0,0,total_sellers
22,2020_11_01,178.0,0,total_sellers
23,2020_12_01,40.0,0,total_sellers
24,,331.0,0,total_sellers
0,2019-02-01,9.0,1,total_enrollments
1,2019-03-01,2.0,1,total_enrollments
2,2019-04-01,6.0,1,total_enrollments
3,2019-05-01,7.0,1,total_enrollments
4,2019-08-01,3.0,1,total_enrollments
5,2019-09-01,2.0,1,total_enrollments
6,2019-11-01,69.0,1,total_enrollments
7,2019-12-01,119.0,1,total_enrollments
8,2020-01-01,137.0,1,total_enrollments
9,2020-02-01,24.0,1,total_enrollments
10,2020-03-01,336.0,1,total_enrollments
11,2020-04-01,652.0,1,total_enrollments
12,2020-05-01,860.0,1,total_enrollments
